date,spx,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1994-04-06,-0.05355579501982177,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.74808,1994-04-04,0.6930701615568675,1.0948370271559826,0.4017668655991151
1994-04-07,0.6296433252237499,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.74808,1994-04-04,0.7012265279026269,1.069639458616113,0.36841293071348624
1994-04-08,-0.8418943139989032,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.74808,1994-04-04,0.7312271882898002,1.065859813886021,0.33463262559622076
1994-04-11,0.6176344364970277,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73697,1994-04-11,0.745658203299339,1.0463317124412894,0.30067350914195046
1994-04-12,-0.5125675321843381,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73697,1994-04-11,0.7366517247734979,1.0343627744685853,0.2977110496950873
1994-04-13,-0.2931201488060253,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73697,1994-04-11,0.7270044396535936,1.0721592217695077,0.3451547821159141
1994-04-14,0.0268854182439604,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73697,1994-04-11,0.7251555491705454,1.0249136626433544,0.299758113472809
1994-04-15,-0.04481760414893898,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73697,1994-04-11,0.7249461382920004,1.0066453797812418,0.2816992414892414
1994-04-18,-0.8372397814749633,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73119,1994-04-18,0.7447657351962351,1.0847579745424034,0.3399922393461683
1994-04-19,0.018083163891091658,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73119,1994-04-18,0.7402765929314249,1.0664897546743695,0.32621316174294457
1994-04-20,-0.1311516298788895,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73119,1994-04-18,0.7410059845047261,1.0715292809811592,0.3305232964764331
1994-04-21,1.520203519665575,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73119,1994-04-18,0.8329740100393828,0.940501597004627,0.10752758696524423
1994-04-22,-0.24543855874172849,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73119,1994-04-18,0.8355723273830734,0.9411315377929758,0.10555921040990235
1994-04-25,1.1284714511401006,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73131,1994-04-25,0.8933164506322654,0.8982955641852634,0.00497911355299796
1994-04-26,-0.185720722201399,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73131,1994-04-25,0.8582058310879347,0.8693182879212227,0.011112456833287987
1994-04-28,-0.6148923326020572,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73131,1994-04-25,0.8451845877715841,0.9140440838939812,0.06885949612239706
1994-04-29,0.40221784648064585,-6.5391399654089355,1994-04-01,0.5820038990395737,1994-04-01,0.5820038990395737,1994-04-01,-0.73131,1994-04-25,0.8518164972623503,0.8674284655561764,0.01561196829382605
1994-05-02,0.4668478418780708,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73356,1994-05-02,0.7382295134225955,0.8888464523600326,0.1506169389374371
1994-05-03,0.002209591111501652,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73356,1994-05-02,0.6299512391996787,0.8699482287095713,0.23999698950989268
1994-05-04,-0.28958251792170486,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73356,1994-05-02,0.6336521987628373,0.9001853865503094,0.26653318778747215
1994-05-05,-0.07529531919043819,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73356,1994-05-02,0.5249038663806912,0.9171937878357247,0.3922899214550335
1994-05-06,-0.7918186282853235,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73356,1994-05-02,0.35058992600920447,0.9499507088298578,0.5993607828206533
1994-05-09,-1.2357763739148986,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73831,1994-05-09,0.41987515433402495,1.0179843139715186,0.5981091596374937
1994-05-10,0.8307777859067222,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73831,1994-05-09,0.43322701854117285,0.9568800575016935,0.5236530389605206
1994-05-11,-1.0186048634087896,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73831,1994-05-09,0.4481711018055527,0.9795579258822472,0.5313868240766946
1994-05-12,0.5105993709322298,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73831,1994-05-09,0.4426819845532521,0.9738884587871088,0.5312064742338567
1994-05-13,0.08785210296222701,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.73831,1994-05-09,0.43109073532349496,0.9159339062590273,0.4848431709355323
1994-05-16,0.07876731960996253,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.74508,1994-05-16,0.4274673202781528,0.9241231365075605,0.4966558162294077
1994-05-17,1.091905570670093,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.74508,1994-05-16,0.4816279998029814,0.8869566299949865,0.4053286301920051
1994-05-18,0.9567559117006574,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.74508,1994-05-16,0.5231449660271862,0.7905756893776337,0.2674307233504475
1994-05-19,0.6130761723575517,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.74508,1994-05-16,0.5083673270012018,0.7767169920339619,0.26834966503276014
1994-05-20,-0.34233036699342634,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.74508,1994-05-16,0.5136792851534536,0.8056942682980026,0.292014983144549
