date,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1999-09-08,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.13125,1999-09-06,1.5431105003589933,1.5005189386223647,-0.04259156173662859
1999-09-09,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.13125,1999-09-06,1.5445319438883174,1.4494937684085867,-0.0950381754797307
1999-09-10,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.13125,1999-09-06,1.475281521424104,1.3877595999868138,-0.0875219214372902
1999-09-13,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.11724,1999-09-13,1.3749707433143057,1.4419344260816673,0.06696368276736164
1999-09-14,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.11724,1999-09-13,1.3867029636550756,1.4973692827412892,0.1106663190862136
1999-09-15,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.11724,1999-09-13,1.2435120916133018,1.5471345425419691,0.30362245092866735
1999-09-16,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.11724,1999-09-13,1.241123792709641,1.5906004905804978,0.3494766978708568
1999-09-17,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.11724,1999-09-13,1.2696455420912378,1.467761988791831,0.19811644670059314
1999-09-20,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.10222,1999-09-20,1.2371366132743438,1.5137477576565561,0.27661114438221235
1999-09-21,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.10222,1999-09-20,1.4184224397332001,1.6157980980841122,0.1973756583509121
1999-09-22,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.10222,1999-09-20,1.3771446428892526,1.5868208794928733,0.20967623660362067
1999-09-23,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.10222,1999-09-20,1.4831975687559236,1.7537551643749478,0.27055759561902426
1999-09-24,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.10222,1999-09-20,1.4831462263717632,1.7506055084938723,0.2674592821221091
1999-09-27,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.088,1999-09-27,1.4122577012059556,1.6630436572102656,0.25078595600431
1999-09-28,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.088,1999-09-27,1.3181047633638425,1.6416256607942759,0.32352089743043333
1999-09-29,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.088,1999-09-27,1.324833493593889,1.6687131339175376,0.3438796403236486
