Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
05/24/1974,3.11745882054068,2.54766746081824,3.24417003114083,-0.413173122294239,2.9157569705343,0.619814191017776
05/31/1974,3.47115938111795,2.96326634764382,3.59942589365622,-0.344941597348064,2.9131649362628,0.606683640722228
06/07/1974,3.81294991339875,3.39908801287833,3.94477139678959,-0.273722345346457,2.90560630790049,0.591834422083726
06/14/1974,4.13281469426501,3.8450867257101,4.26988945715702,-0.200348378489923,2.89297178638907,0.575364920566823
06/21/1974,4.41970634148688,4.2759781729706,4.56316273058617,-0.125809724584834,2.87511121262513,0.557427874387279
06/28/1974,4.65941416205913,4.64897248204924,4.80939479553134,-0.051121657439232,2.85186550531125,0.538224257872103
07/05/1974,4.83834278937173,4.91719984455831,4.99396869482669,0.0227941017375848,2.82293934711936,0.517983055349023
07/12/1974,4.94881563798124,5.04880927815069,5.10796155249388,0.0947811142105894,2.78788204214487,0.496987859750089
07/19/1974,4.98995906502822,5.03661235711221,5.14949750998195,0.164233234110279,2.74633195682522,0.475491933389185
07/26/1974,4.96964695327849,4.90327688046907,5.12575190142831,0.230780628063511,2.69791641730751,0.453737165904475
08/02/1974,4.9008417073934,4.69046188781151,5.04962637809947,0.294683526141723,2.6423761055448,0.431940743904636
08/09/1974,4.79595403144737,4.44427061005671,4.93359094051447,0.356138423865297,2.57966973075435,0.410291462976427
08/16/1974,4.67160378485836,4.215782972277,4.79485061220362,0.416726479051954,2.50989130792491,0.388954882104864
08/23/1974,4.53761333835738,4.03622020981567,4.64405179936661,0.477094802952467,2.43316087962544,0.368081756090708
08/30/1974,4.40339640742841,3.92419071420907,4.49151946120599,0.537891179740075,2.34966522295601,0.347809602281198
09/06/1974,4.27122680053442,3.87282279687695,4.34057750574745,0.599083150016888,2.25971855189577,0.328262825758917
09/13/1974,4.14004528240914,3.85699719305383,4.19130230528267,0.659879753965147,2.16374276101792,0.309552347938236
09/20/1974,4.00605930876834,3.83761260030766,4.04078743443031,0.718844627464791,2.06252053390794,0.291772514958044
09/27/1974,3.85989577881068,3.76418496252983,3.88034172155083,0.774049614872847,1.95711823082367,0.275005267134466
10/04/1974,3.69705251875838,3.60390293264265,3.70578686864008,0.823388224474647,1.84870038695078,0.259335855126889
10/11/1974,3.51608972703983,3.34675864809325,3.51530002171805,0.864643768432438,1.73876703193702,0.244844699159641
10/18/1974,3.32615713888401,3.02281898882023,3.31746491839288,0.896152089761546,1.62843523950763,0.231588022157462
